"Answers","num_words","num_characters","num_misspelled","bin_start_interrogative","bin_end_qmark","num_interrogative","bin_start_small","avg_word_sentence","num_sentences","bin_url","readability_score","num_punctuations","bin_taboo","grammar_check"
"
1. A serial data line or bus is used for which of the following purposes? 
C. Transmit pulses from the ignition primary coil to the tachometer

12. GM Class 2 communication toggles between 
B. 0 and 12 V.

3. Technician A says that module communications networks are used to reduce the number of wires in a vehicle. Technician B says that a communications network is used to share data from sensors, which can be used by many different modules. Which technician is correct? 
A. Technician B only

4. A magnetic field is created around a wire when 
A. the wire is connected between two grounds.

5. In most automotive electrical circuits, a relay is used in which of the following situations? 
C. A lower-voltage circuit controls a higher-voltage circuit.

6. A diagnostic scan tool connects to the vehicle using the 
C. data link connector.

7. A diode with high resistance or an infinite reading in both directions is 
C. reverse biased.

8. Two technicians are discussing how capacitors work. Technician A says that, in an open circuit, a capacitor will hold its charge until it's connected to an external circuit. Technician B says that theoretically a capacitor will hold its charge indefinitely. Who is correct? 

A. Technician A

9. All of the following can be added to a circuit to reduce electromagnetic interference, except 
C, a diode.

10. Technician A says when you push the horn button, electromagnetism moves an iron bar inside the horn, which opens and closes contacts in the horn circuit. Technician B says most vehicle horn circuits use a relay. Which technician is correct? 
B. Both Technician A and Technician B

11. A/an _______ is a material with four electrons in the valence ring. 
D. conductor


1. Technician A says that dynamic voltage is the voltage (usually of a battery) that exists without a load being applied. Technician B says that open circuit voltage (OCV) is the voltage of the power source (battery) with the circuit in operation. Who is correct? 

A. Both Technicians A and B

2. A technician connects one lead of a digital voltmeter to the positive (+) terminal of the battery and the other meter lead to the battery terminal (B) of the starter solenoid and then cranks the engine. During cranking, the voltmeter displays a reading of 878 mV. Technician A says that this reading indicates that the resistance of positive battery cable is too high. Technician B says that this reading indicates that the starter is defective. Which technician is correct? 
B. Technician A only
","426","2104","18","0","0","5","0","8.037735849056604","53","0","4.48041722030295","73","0","0"
"
Choices? picture? ill need one or the other to help!


","10","47","0","0","0","0","0","2.5","4","0","-1.3399999999999999","3","0","0"
"
The lines from this excerpt that suggest that Mr. Darcy is questioning his hasty judgment and has fallen in love with Elizabeth are the following one: ""But no sooner had he made it clear to himself and his friends that she hardly had a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes."" This is the moment he realized that he was wrong about her and that there is more to her than he originally thought. He realized that he has already fallen in love with her, despite her flaws.
","104","461","0","0","0","0","0","20.8","5","0","9.349807692307692","6","0","0"
"
Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing
","30","135","0","0","0","0","0","30.0","1","0","14.294000000000004","1","0","1"
"
Communism was the main cause of conflict that led to nuclear threats
","12","59","0","0","0","0","0","12.0","1","0","6.942499999999999","0","0","1"
"
The answer is C. Sociology.
","5","25","0","0","0","0","0","1.6666666666666667","3","0","-0.8146666666666675","2","0","1"
"
The steps in the order that makes the most sense for separating the salt from the mixture are 3, 1, 2, 4 
","22","87","4","0","0","0","0","22.0","1","0","6.6972727272727255","3","0","0"
"If the United States imports more goods from Japan than it exports to Japan, how will the difference be financed? The United States will sell the assets they receive so that Americans who want the product are obligate to pay for future imports of those items. Basically, the United States will make sure Americans are wanting and willing to pay for the items they are importing for us to have from Japan or they will stop important those items. Since we important more than we export, we are always owing Japan money for the difference in items that we can not evenly trade. ","103","482","0","0","0","2","0","20.6","5","0","10.133592233009711","7","0","0"
"
B still mechanics just ones with the electrical knowledge of cars which will cost alot more resulting in better pay.
","20","99","1","0","0","0","0","10.0","2","0","6.178000000000001","1","0","0"
"
I can try my best! I do need help with my history work. i go to online school too
","19","65","0","0","0","0","0","6.333333333333333","3","0","-3.141754385964912","2","0","0"
"
Sure (: . I'm in Chems Honors , so HMU!
","7","32","3","0","0","0","0","2.3333333333333335","3","0","-3.441904761904759","4","0","0"
"
Water is WET. Water will ALWAYS be wet. Nvm its not wet its dry.
","14","53","1","0","0","0","0","3.5","4","0","-3.531428571428574","3","0","0"
"
 Actually the Industrial Revolution at first helped expand slavery","9","60","0","0","0","0","0","9.0","1","0","12.899999999999999","0","0","1"
"
The first major red scare in american history took place during the decade of probably the 40s
","17","80","1","0","0","0","0","17.0","1","0","8.680588235294117","0","0","0"
"
The first major Red Scare in American history took place during the decade of the 1940s. This is defined that A ""Red Scare"" is promotion of widespread fear by a society or state about a potential rise of communism, anarchism, or radical leftism.
","43","205","0","0","0","0","0","14.333333333333334","3","0","7.315038759689923","4","0","0"
"
That would be 4 * 3 * 5 * 2  = 120 Answer
","9","32","4","0","0","0","0","9.0","1","0","-4.370000000000001","0","0","0"
"
Conduction is your answer (letter B)

","6","34","0","0","0","0","0","6.0","1","0","4.334999999999997","2","0","1"
"I believe the answer is D) Radiation. In physics, radiation is the emission or transmission of energy in
the form of waves or particles through space or through a material
medium.
~Deceptiøn

","33","165","1","0","0","0","0","11.0","3","0","5.90727272727273","4","0","0"
"
A per Son WHO EXHIBITS A SYSTOM OF A PERSONALITY DISORDER IS NARCISSISM.
","13","62","1","0","0","1","0","6.5","2","0","3.1961538461538446","1","0","1"
"
The first thing we must do for this case is to define a variable.
 We have then:
 x: time it takes the trainee to do the work alone.
 For this case we have the following equation:
 7/21 + 7 / x = 7/12
 Solving for x we have:
 x = 28 hours
 Answer:
 it would take the trainee working by herself about:
 x = 28 hours","63","268","7","0","0","0","0","21.0","3","0","5.891428571428573","2","0","1"
"
Cosmology is a branch off of astronomy, cosmology is the study of large scale properties of the universe as a whole. Astronomy is the study of celestial objects, such as stars, planets, galaxies, etc. ","34","172","0","0","0","0","0","11.333333333333334","3","0","6.401372549019609","7","0","0"
"
The Power or Sympathy is a sentimental novel, dealing with domestic life.

I hope it helps!

","16","80","0","0","0","0","0","5.333333333333333","3","0","2.4316666666666684","3","0","1"
"
Hi !


answer C

To write a reflective essay on this book or any other book,
 I would first make a list of main points.

hope I helped :)
","27","116","0","0","0","0","0","9.0","3","0","0.33999999999999986","4","0","0"
"
1) Location
2) Place
3) Human Environmental Interaction (HEI)
4) Movement
5) Region
Thats the 5 themes, I dont know the other question. Sorry!
-Abi
","25","131","6","0","0","0","0","8.333333333333334","3","0","3.8374666666666712","11","0","0"
"Oronary
heart disease is caused by a buildup of plaque in the arteries that
supply blood to the heart. when the flow of blood to the heart is
restricted or blocked, the heart can be damaged due to a lack of oxygen.
further, if a large piece of plaque buildup gets dislodged from an
artery wall, it can get stuck in other arteries throughout the body,
including arteries in the brain. for simplicity, let's assume that the
artery is cylindrical with a radius of r. the flow rate of a viscous
fluid is given by poiseuille's law 
","97","438","2","0","0","1","0","19.4","5","0","8.663814432989689","9","0","0"
"
What is pictured in the image is an early telescope. So, since a telescope is used to look at things far away in the sky, such as stars or planets, it would have been used to further astronomy.
","38","158","0","1","0","1","0","12.666666666666666","3","0","3.6193859649122793","5","0","1"
"astronomy  because it  was used to look at star easy","10","45","0","0","0","0","1","10.0","1","0","2.8810000000000002","0","0","0"
"
C.Instead of being the warm center of the world, The Middle West now seemed like the rugged edge of the universe- so i decided to go East and learn the bond business
","33","136","0","0","0","0","0","16.5","2","0","5.517272727272726","3","0","0"
"
No slavery wasn't a choice... 

Many slaves were beaten if they rebelled or tried to get their own rights. Children were born into slavery meaning that that's all the knew. Most owners didn't teach their slaves to read or write, so slaves couldn't easily survive on their own because they weren't educated enough to get a job.

The civil war showed how slaves didn't have a choice or rights even though they desperately wanted them, and even after the war their was segregation. Slaves didn't have a choice or a voice.
","91","431","7","0","0","1","0","13.0","7","0","6.549670329670327","10","0","0"
"
No, all you need to solve a rubiks cube is patience, common sense, and courage that you know you can do it. anyone can do it!
","26","102","1","0","0","0","0","8.666666666666666","3","0","0.11294871794871497","5","0","0"
"
It came out in 1984.
","5","18","0","0","0","0","0","2.5","2","0","-6.050000000000001","1","0","1"
"March 9, 1984.           hope i helped can i get brainliest please?

","11","61","2","0","0","0","0","3.6666666666666665","3","0","-0.7566666666666677","3","0","0"
"
Jackie Robinson because. of freedom freed white in black people
","10","56","0","0","0","0","0","5.0","2","0","6.032999999999998","1","0","0"
"
No new taxes

President Bush snr, had pledged that he would not pursue additional tax, but found himself in the middle of a recession orchestrated by the economic policies of his predecessor. Largely though, this pledge cost him the 1992 re-election bid.
","43","216","1","0","0","0","0","14.333333333333334","3","0","8.300852713178294","6","0","0"
"
1-  A) Parasytes
2- False
3- Germs
4- Pus
5- True
6- C) Vitamin D
7- D) Scurvy
8- True
9- A) Cirrhosis
10-  ???
11-  ???
12-  Three ways that your body resistes infections are because of your mucous membranes, your skin and your immune system
13- D) Skin
","48","223","15","0","0","0","0","16.0","3","0","3.84","25","0","0"
"
1- A) Parasytes
2- False
3- Germs
4- Pus
5- True
6- C) Vitamin D
7- D) Scurvy
8- True
9- A) Cirrhosis
10.anemia
11.bones
12. Presence of WBC, skin, immune system
13.SKIN
","36","151","14","0","0","0","0","7.2","5","0","-2.3916666666666657","19","0","0"
"
There are six of them 
","5","21","0","0","0","0","0","5.0","1","0","-2.9160000000000004","0","0","0"
"I think the right answer is a. it determines male and female social hierarchy. Sexual dimorphism is the study of differences in each sex of the same species. These differences generally determine the hierarchical pattern adopted between the male and female members of the species. Males are usually the largest in many species, such as primates, and tend to have a higher social status.

I hope this answer can help you.
","71","352","0","0","0","0","0","10.142857142857142","7","0","6.262696177062374","8","1","0"
"
Males will have chest pain, difficulty breathing, numbness or tingling in the left arm/side.

women might have the same with pain in the back/lower back.
","27","132","0","0","0","0","0","9.0","3","0","4.35222222222222","4","0","0"
"
 the correct option is B Tourism and agriculture

The pacific islands refers to a group of islands in the pacific. the biggest of these islands is Papua Guinea. Others include Tahiti, which belongs to a group of island administered by French. some islands like Fiji, and solomon islands though are independent.
The main economic activity in these islands is agriculture. The islands enjoy a pleasant climate. Papua guinea for example is one of the largest producer of cocoa.  Tourism as an economic activity has also been on the rise as the islands have very beautiful beaches.



","96","493","0","0","0","0","0","10.666666666666666","9","0","6.913645833333334","10","0","0"
"
The Latin American leader was Manuel Noriega

Manuel Norigea was the ruler of Panama who was a politician/military leader. Between 1983 and 1989 he controlled Panama with an Iron fist, thanks to his close ties to the CIA.

He was removed from Power in Operation Just Cause, which was a full scale invasion of Panama by US forces for the removal of Manuel from power and his capture.


Manuel Noriega eventually spent 17 years in US jails for his crimes.","81","378","2","0","0","1","0","20.25","4","0","9.80277777777778","6","0","0"
"
I havent sorry......................................
","3","52","0","0","0","0","0","1.5","2","0","-1.8399999999999999","38","0","0"
"
You can message me with some questions
","7","34","0","0","0","0","0","7.0","1","0","3.6014285714285705","0","0","1"
"
C is the right answer to this!
","7","26","0","0","0","0","0","3.5","2","0","-4.204285714285717","1","0","1"
"
B is most likely the answer.

Hope this Helped!

;D
","10","46","0","0","0","0","0","3.3333333333333335","3","0","-2.3363333333333323","3","0","1"
"
It best impacted modern literature by bringing Greek Gods and Mythological stories into a modern taste so that readers could have a better understanding of Greek Mythology.
","27","148","0","0","0","0","0","13.5","2","0","10.614444444444445","1","0","1"
"
I don't remember Romeo comparing his liver, but his love for Juliet to the sea. He compared the two saying his love was never ending, conquered by the ship captain Juliet.

Sorry if you did actually mean liver, haha...
","39","183","1","0","0","0","0","9.75","4","0","4.096538461538465","8","0","0"
"
Answer//////////Prosocial behaviors;///////////////
","3","52","1","0","0","0","0","3.0","1","0","17.75","1","0","0"
"
Prosocial behaviors is correct

","4","30","1","0","0","0","0","4.0","1","0","12.362500000000004","0","0","0"
"t1/2 = ln 2 / λ = 0.693 / λ
Where t1/2 is the half life of the element and λ is decay constant.

32 = 0.693 / λ 
λ   = 0.693 / 32          (1) 

Nt = Nο eΛ(-λt)          (2)

Where Nt is atoms at t time, λ is decay constant and t is the time taken.
t = 1.9 hours = 1.9 x 60 min

From (1) and (2),


Nt = Nο e⁻Λ(0.693/32)*1.9*60
Nt =  0.085Nο 

Percentage = (Nt/Nο) x 100%
                   = (0.085Nο/Nο) x 100%
                   = 8.5%

Hence, Percentage of remaining atoms with the original sample is 8.5%

","97","459","30","0","0","2","1","6.928571428571429","14","0","-5.0981885125184085","33","0","0"
"
Answer is B. Conduction

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Conduction is a heat it transferred to the heat by touching your hand. 


Hope it helped you.

-Charlie

","22","145","0","0","0","0","0","5.5","4","0","2.300909090909091","4","0","0"
"
1. Physical activities that are easily available and can help both teens and adults to strengthen muscles and build bone structure include swimming and playing basketball.
2. Physical activities to lose and maintain recommended healthy weight include Aerobic dancing, jumping rope, and gardening.
","43","265","2","0","0","0","0","8.6","5","0","10.034651162790695","6","0","0"
"
Anything that sounds like a name, city, month, etc. gets capitalized... So for example the first sentence would be...

Early in April, Paula and Harry Jones left on their trip.

Hope this helps!
","33","166","0","0","0","0","0","5.5","6","0","2.300909090909091","13","0","1"
"
The hummingbird's nutritional needs daily are 10,000 mg of sugar and 8,000 mg of protein. 

Since one nasturtium flower provides 10 mg of sugar and 10 mg of protein, the hummingbird needs 1000 nasturtium flowers each day for its nutritional needs (10,000/10 = 1000). 
Since one honeysuckle flower provides 20 mg of sugar and 10 mg of protein, the hummingbird needs 500 honeysuckle flowers each day for its nutritional needs. 
If the hummingbird feeds only on nasturtium flowers, then the bird will need 5,000 seconds to get exactly the food it needs. This is calculated based on the information that it takes 5 seconds to feed on a nasturtium: 1000 flowers daily * 5 seconds = 5000 sec = 83,3 min. 
If the hummingbird feeds only on honeysuckle flowers, then the bird will need: 500 flowers * 20 seconds = 10,000 sec = 166,6 min. 
","146","690","17","0","0","0","0","20.857142857142858","7","0","9.967749510763205","19","0","0"
"
True...........................??????
","1","39","0","0","1","0","0","0.5","2","0","-2.34","33","0","1"
"
That would be true. The top 10 Presidents are Teddy Roosevelt, Thomas Jefferson, Harry S. Truman, Dwight D. Eisenhower, Bill Clinton, Andrew Jackson and Woodrow Wilson, Franklin D, Roosevelt, George Washington, and Abraham Lincoln.

Have a nice day!","38","216","1","0","0","0","0","7.6","5","0","6.787631578947369","14","0","0"
"
Amount borrowed = $1,000
Total amount paid = Amount borrowed + Finance charge = $1000+145 = $1,145

APR = Finance charge/Amount borrowed = 145/1000 = 0.145 = 14.5%
","26","140","5","0","0","0","0","8.666666666666666","3","0","3.736025641025641","4","0","1"
"
The relation between the religion and politics continue to be important despite the need for the separation of the church and state. Religion plays a role as it make claims on people's allegiance and making these claims on all people rather than a specific community. Politics on the other hand also influences the belief of people as exercising their right to choose for political leaders.
","65","328","1","0","0","0","0","16.25","4","0","10.100076923076923","3","0","1"
"
This line of code tells the ""turtle"" to move forward 200 pixels and right 91°, 100 times.
","17","76","1","0","0","0","0","8.5","2","0","1.6600000000000001","2","0","0"
"
The answer is National, State, and Local.
","7","37","0","0","0","0","0","3.5","2","0","1.8514285714285705","3","0","1"
"
Polygenic of or relating to an inheritable character that is controlled by several genes at once of a related to or determined by polygenes. Genetic science, genetics- the branch of biology that studies heredity and variation in organisms.
","38","204","0","0","0","0","0","12.666666666666666","3","0","9.444912280701754","4","0","0"
"
In an attempt to keep her plants from freezing, she left the stove on to keep them warm.
","18","73","0","0","0","0","0","9.0","2","0","1.125","2","0","1"
"
You can look at this problem step by step. 
First step: Probability that the first pick is male = 10/20   (as 10 males out of 20 people)
2nd step: Probability that the second pick is male= 9/19 (as there are 9 males left out of 19 people) 
3rd step: P = 8/18
4th step: P = 7/17

As these all need to happen once you need to multiply the probabilities. 

The result is: 10/20 * 9/19 * 8/18 * 7/17
You can simplify this if you wish. 
","89","360","23","0","0","0","0","22.25","4","0","6.100617977528092","7","0","0"
"
What is the question
","4","19","0","1","0","1","0","4.0","1","0","0.5874999999999986","0","0","1"
"
Since it is geometric sequence, we know that a₄ = a₁ r³ and a₆ = a₁ r⁵

So we have a₆ / a₄ = a₁ r⁵ / a₁ r³ = r²

Also a₆ / a₄ = 64 / 16 = 4

So r would be either 2 or -2. Let's go with 2 for now.

Now let's find a₁.

a₄ / r = a₃ = 16 / 2 = 8

a₃ / r = a₂ = 8 / 2 = 4

a₂ / r = a₁ = 4 /2 = 2

So S₄ = a₁ + a₂ + a₃ + a₄ = 2 + 4 + 8 + 16 = 30

So final answer: S₄ = 30

Hope this helps.
","86","341","23","0","0","0","0","17.2","5","0","-2.7527906976744205","6","0","0"
"
C. or D. leaning more towards D. 
","7","30","0","0","0","0","0","1.75","4","0","-5.079285714285717","3","0","0"
"
Kashmir is where the conflicts have most commonly occurred.

","9","54","0","0","0","1","0","4.5","2","0","6.986666666666665","1","0","1"
"
That is something that cant be explained you will have to go to a doctor or a medical person or physician for that .
or try avoid using a cold shower take a hot shower 
","34","136","0","0","0","0","0","17.0","2","0","5.355882352941176","1","0","0"
"
A branch in physics in which it is completely theoretical, from gaining knowledge and evidence.
A famous theoretical equation that relates to physics is E=mc^2 proposed by Albert Einstein.
","31","163","1","0","0","0","0","10.333333333333334","3","0","7.286666666666669","3","0","1"
"
The correct answer is a response. 

According to the communication process theory, a response refers to the impact or call to action that occurs as a result of a being subject to a message such as a television advertisement. In this instance, the ad about Claritin had an impact on Ann, leading her to immediately go to to a pharmacy to purchase it. 
","63","293","1","0","0","0","0","15.75","4","0","7.303571428571431","6","0","0"
